CustomerID,LookalikeID,SimilarityScore
C0001,C0152,0.9994343429845836
C0001,C0160,0.9646762129001285
C0001,C0118,0.9433285096487964
C0002,C0029,0.9955490777519533
C0002,C0192,0.9827139566507663
C0002,C0086,0.9709087028657685
C0003,C0036,0.9791203514802499
C0003,C0177,0.9765257637554412
C0003,C0144,0.9737581519007126
C0004,C0175,0.9968367411410408
C0004,C0173,0.988395467551006
C0004,C0165,0.9862002985084484
C0005,C0073,0.9997039391914135
C0005,C0159,0.9992226931769693
C0005,C0112,0.997077840743174
C0006,C0066,0.960645223159854
C0006,C0185,0.9399478515946582
C0006,C0064,0.9228746393964611
C0007,C0193,0.9950446739176044
C0007,C0125,0.9891047099909509
C0007,C0176,0.9712679546303674
C0008,C0090,0.9819082034687132
C0008,C0017,0.9468996696844639
C0008,C0024,0.937537390048041
C0009,C0077,0.9964173076862962
C0009,C0097,0.9822583694135855
C0009,C0094,0.9796343132851982
C0010,C0083,0.9947236853635815
C0010,C0199,0.9907282652923668
C0010,C0025,0.9789748189615666
C0011,C0107,0.9988552438494607
C0011,C0153,0.9421004263785673
C0011,C0023,0.9309555147281566
C0012,C0046,0.9928912239658204
C0012,C0136,0.9927475120422873
C0012,C0126,0.9840053925334611
C0013,C0143,0.9999418308907844
C0013,C0054,0.9947774495362398
C0013,C0028,0.9919118765499899
C0014,C0151,0.9903968338025442
C0014,C0058,0.9872890479253327
C0014,C0033,0.9849159467433853
C0015,C0186,0.9965313762520749
C0015,C0058,0.9769243864075565
C0015,C0123,0.9635677217847888
C0016,C0182,0.9986126994458521
C0016,C0187,0.9967414166150256
C0016,C0183,0.9966570285386038
C0017,C0090,0.987944685251433
C0017,C0093,0.9746768289770831
C0017,C0008,0.9468996696844639
C0018,C0187,0.9999867243727728
C0018,C0182,0.9994180302871265
C0018,C0016,0.9963129752710095
C0019,C0164,0.9533443804904566
C0019,C0091,0.9442172920820112
C0019,C0088,0.9351223429517499
C0020,C0110,0.9946796968592447
C0020,C0167,0.9907025612636998
C0020,C0078,0.9860249930599894
